EC number	SuperFamilyCount	ProteinCount	Entries
('1.1.1.133',)	1	11	"{""('SSF51735',)"": [""P26392"", ""A0QTF8"", ""O66251"", ""P29781"", ""P37760"", ""P37778"", ""P9WH09"", ""Q2SYI1"", ""Q46769"", ""P55463"", ""P9WH08""]}"
('1.1.1.135',)	1	1	"{""('SSF51735',)"": [""Q9JRN7""]}"
('1.1.1.138',)	1	7	"{""('SSF51735',)"": [""P0C0Y5"", ""O93868"", ""P0C0Y4"", ""Q6CEE9"", ""Q8NK50"", ""A0A223HDI5"", ""O00058""]}"
('1.1.1.140',)	1	2	"{""('SSF51735',)"": [""P05707"", ""P37079""]}"
('1.1.1.153',)	1	7	"{""('SSF51735',)"": [""P18297"", ""P35270"", ""Q54GP3"", ""Q64105"", ""Q17QK8"", ""B0BML7"", ""Q7ZY31""]}"
('1.1.1.156',)	1	2	"{""('SSF51430',)"": [""P14065"", ""Q0GYU4""]}"
('1.1.1.159',)	1	2	"{""('SSF51735',)"": [""P0AET8"", ""P0AET9""]}"
('1.1.1.16',)	1	1	"{""('SSF51735',)"": [""Q1MLL4""]}"
('1.1.1.169',)	1	1	"{""('SSF52518',)"": [""F4KIN4""]}"
('1.1.1.170',)	1	9	"{""('SSF51735',)"": [""P53199"", ""Q15738"", ""Q3ZBE9"", ""Q5PPL3"", ""Q9R1J0"", ""O43050"", ""Q5A1B0"", ""A9X4U2"", ""Q54L85""]}"
('1.1.1.173',)	1	1	"{""('SSF51735',)"": [""A3LZU7""]}"
('1.1.1.175',)	1	2	"{""('SSF51735',)"": [""B8H1Z0"", ""Q9A9Z0""]}"
('1.1.1.176',)	1	1	"{""('SSF51735',)"": [""P21215""]}"
('1.1.1.188',)	1	2	"{""('SSF51430',)"": [""P05980"", ""P52897""]}"
('1.1.1.192',)	1	1	"{""('SSF56796',)"": [""A4ISB9""]}"
('1.1.1.193',)	1	2	"{""('SSF53597',)"": [""P57534"", ""Q8K9A3""]}"
('1.1.1.194',)	1	1	"{""('SSF51735',)"": [""P0DMP5""]}"
('1.1.1.198',)	1	2	"{""('SSF51735',)"": [""A0A8F5SIS3"", ""A0A8F5XX49""]}"
('1.1.1.200',)	1	1	"{""('SSF51430',)"": [""P28475""]}"
('1.1.1.201',)	1	4	"{""('SSF51735',)"": [""A4ECA9"", ""G9FRD6"", ""A7B4V1"", ""R9UAM1""]}"
('1.1.1.202',)	1	2	"{""('SSF56796',)"": [""P45513"", ""Q59477""]}"
('1.1.1.203',)	1	3	"{""('SSF51735',)"": [""Q7CRQ0"", ""Q888H1"", ""Q88NN6""]}"
('1.1.1.205',)	1	20	"{""('SSF51412',)"": [""E9PU28"", ""P12268"", ""P12269"", ""P20839"", ""P24547"", ""P50096"", ""Q8T6T2"", ""A0JNA3"", ""B0UXP9"", ""D3ZLZ7"", ""P49058"", ""Q3SWY3"", ""Q6GMG5"", ""F6S675"", ""F7CYY5"", ""O50316"", ""P50098"", ""Q5RGV1"", ""Q8KCW4"", ""Q9GZH3""]}"
('1.1.1.206',)	1	1	"{""('SSF51735',)"": [""P50162""]}"
('1.1.1.208',)	1	1	"{""('SSF51735',)"": [""B2X050""]}"
('1.1.1.21',)	1	9	"{""('SSF51430',)"": [""Q5RJP0"", ""Q6IMN8"", ""O08782"", ""P21300"", ""P45377"", ""Q55FL3"", ""Q8SSK6"", ""P23901"", ""Q54NZ7""]}"
('1.1.1.212',)	1	1	"{""('SSF51735',)"": [""I6Y778""]}"
('1.1.1.216',)	1	1	"{""('SSF51735',)"": [""D2WKD9""]}"
('1.1.1.218',)	1	2	"{""('SSF51430',)"": [""P82810"", ""Q02198""]}"
('1.1.1.219',)	1	1	"{""('SSF51735',)"": [""P73212""]}"
('1.1.1.226',)	1	1	"{""('SSF51735',)"": [""P0DXE0""]}"
('1.1.1.23',)	1	212	"{""('SSF53720',)"": [""P06988"", ""P10370"", ""P9WNW9"", ""Q02136"", ""Q9C5U8"", ""B0S9F2"", ""B0SS41"", ""O26327"", ""O30027"", ""O33775"", ""O34651"", ""O59626"", ""O66976"", ""P16245"", ""P24226"", ""P28736"", ""P44001"", ""P57201"", ""P59397"", ""P59398"", ""P59399"", ""P59400"", ""P59401"", ""P60858"", ""P60859"", ""P60860"", ""P60861"", ""P60862"", ""P62456"", ""P62457"", ""P62458"", ""P62459"", ""P62460"", ""P63951"", ""P63952"", ""P63953"", ""P63954"", ""P73058"", ""P9WNW8"", ""Q2P3K3"", ""Q2RGV8"", ""Q2RQM7"", ""Q2YAU5"", ""Q2YPB8"", ""Q2YZB4"", ""Q30TA4"", ""Q313T7"", ""Q318Q4"", ""Q31GY9"", ""Q323J2"", ""Q32EE9"", ""Q39K91"", ""Q39YP7"", ""Q3A133"", ""Q3AD53"", ""Q3AR25"", ""Q3B5E3"", ""Q3BUF7"", ""Q3ICF0"", ""Q3IQR5"", ""Q3J079"", ""Q3J7H1"", ""Q3JMZ6"", ""Q3KHZ2"", ""Q3M5D3"", ""Q3MEV7"", ""Q3SI67"", ""Q3SW26"", ""Q3Z0G5"", ""Q3Z878"", ""Q3ZXL7"", ""Q465R4"", ""Q46J19"", ""Q46WL2"", ""Q47AL5"", ""Q47QS9"", ""Q47XB8"", ""Q48EC9"", ""Q492K3"", ""Q4A044"", ""Q4FNE2"", ""Q4FQF8"", ""Q4J8I8"", ""Q4JW59"", ""Q4KI73"", ""Q4QN74"", ""Q4UU40"", ""Q4ZNV9"", ""Q57F99"", ""Q57MS3"", ""Q58851"", ""Q5E638"", ""Q5F7D8"", ""Q5FS83"", ""Q5H0L1"", ""Q5HCL9"", ""Q5HKN8"", ""Q5HSJ3"", ""Q5JFR5"", ""Q5KVC6"", ""Q5LAZ8"", ""Q5LL27"", ""Q5MZ26"", ""Q5NAY4"", ""Q5P790"", ""Q5PDP3"", ""Q5QWP8"", ""Q5SKC1"", ""Q5V574"", ""Q5WDH8"", ""Q5WX91"", ""Q5X5W9"", ""Q5YYQ0"", ""Q5ZW87"", ""Q606Q2"", ""Q62GD9"", ""Q63DX2"", ""Q63Q86"", ""Q64RE7"", ""Q65EF9"", ""Q65RB1"", ""Q66C49"", ""Q67KH6"", ""Q6A8L5"", ""Q6AE76"", ""Q6ANR3"", ""Q6D411"", ""Q6FEC8"", ""Q6G5Z7"", ""Q6GDC6"", ""Q6HLE7"", ""Q6KZD1"", ""Q722Y3"", ""Q7M8K9"", ""Q7MLS6"", ""Q7NL02"", ""Q7P0F6"", ""Q7U8K7"", ""Q7UX39"", ""Q7V004"", ""Q7V5N9"", ""Q7VA26"", ""Q7VFF5"", ""Q7VQX0"", ""Q7VSZ1"", ""Q7W2Y4"", ""Q7WDY4"", ""Q81G06"", ""Q81T62"", ""Q82AA6"", ""Q82W26"", ""Q845V3"", ""Q87C29"", ""Q87QL1"", ""Q87WV5"", ""Q8ABA9"", ""Q8CQ95"", ""Q8D8Q0"", ""Q8DGR2"", ""Q8DTQ7"", ""Q8EFB1"", ""Q8ESR8"", ""Q8F393"", ""Q8FG52"", ""Q8FNZ0"", ""Q8G2R2"", ""Q8G4S9"", ""Q8GDP4"", ""Q8GKZ1"", ""Q8KEY6"", ""Q8NNT5"", ""Q8P9P2"", ""Q8PLG9"", ""Q8PZR8"", ""Q8R882"", ""Q8TL41"", ""Q8TXG3"", ""Q8UHX1"", ""Q8X8T3"", ""Q8XV79"", ""Q8Y9G1"", ""Q8YF59"", ""Q8YSM8"", ""Q8YWL4"", ""Q8Z5K0"", ""Q8ZFX5"", ""Q8ZY17"", ""Q92E84"", ""Q92S26"", ""Q970Y9"", ""Q97KI2"", ""Q989E7"", ""Q9A5V1"", ""Q9CC57"", ""Q9CLM4"", ""Q9F854"", ""Q9HPW5"", ""Q9HVW9"", ""Q9JTH9"", ""Q9JYH8"", ""Q9K6Z2"", ""Q9L6I1"", ""Q9P777"", ""Q9PBC5"", ""Q9PM77"", ""Q9RH05"", ""Q9RSI4"", ""Q9X0D1"", ""Q9ZHE6"", ""Q9RQ82"", ""Q9RQ85"", ""Q9RQ88""]}"
('1.1.1.233',)	1	1	"{""('SSF51735',)"": [""P22441""]}"
('1.1.1.236',)	1	2	"{""('SSF51735',)"": [""P50163"", ""P50164""]}"
('1.1.1.244',)	1	1	"{""('SSF56796',)"": [""P31005""]}"
('1.1.1.245',)	1	2	"{""('SSF51735',)"": [""Q6TMA3"", ""Q9F7E0""]}"
('1.1.1.247',)	1	5	"{""('SSF51430',)"": [""B9VRJ2"", ""Q9SQ67"", ""Q9SQ68"", ""Q9SQ69"", ""Q9SQ70""]}"
('1.1.1.248',)	1	2	"{""('SSF51735',)"": [""A4UHT7"", ""Q071N0""]}"
('1.1.1.250',)	1	3	"{""('SSF51735',)"": [""P50166"", ""P43066"", ""P50167""]}"
('1.1.1.252',)	1	3	"{""('SSF51735',)"": [""Q12634"", ""F9XMW6"", ""W3XAA0""]}"
('1.1.1.256',)	1	1	"{""('SSF51735',)"": [""Q93UV4""]}"
('1.1.1.257',)	1	2	"{""('SSF53720',)"": [""P94682"", ""Q9AHG1""]}"
('1.1.1.261',)	1	68	"{""('SSF56796',)"": [""P72010"", ""P94527"", ""Q9YER2"", ""A0B5P3"", ""A0RXV2"", ""A1RV58"", ""A1RZJ9"", ""A2BN26"", ""A2ST19"", ""A3CX71"", ""A3DN28"", ""A3MTM6"", ""A4FZY2"", ""A4IP94"", ""A4WLW1"", ""A4YIZ1"", ""A5UJW3"", ""A6URL4"", ""A6UUD2"", ""A6VIL2"", ""A7I9R4"", ""A7Z7G4"", ""A8ABP9"", ""A8MC03"", ""A9A2U8"", ""A9A874"", ""B0R3A6"", ""B1L7K1"", ""B1YCY7"", ""B3EYN8"", ""B8GGP5"", ""B9LUA0"", ""C3MQ22"", ""C3MVE1"", ""C3N5P0"", ""C3NEA4"", ""C3NHE5"", ""C4KHB6"", ""C6A2E4"", ""O28599"", ""O59144"", ""P58460"", ""Q0W4M8"", ""Q12X59"", ""Q18JW6"", ""Q2FPC7"", ""Q2NFL8"", ""Q3ING6"", ""Q46FR7"", ""Q4JB01"", ""Q58122"", ""Q5JH91"", ""Q5V5G2"", ""Q5WL08"", ""Q65GC3"", ""Q6L0R7"", ""Q6M0P4"", ""Q8PZA4"", ""Q8TJU1"", ""Q8TW08"", ""Q8U147"", ""Q8ZWP5"", ""Q979B1"", ""Q9HJ16"", ""Q9HS49"", ""Q9KBR3"", ""Q9UXE7"", ""Q9V0V0""]}"
('1.1.1.262',)	1	138	"{""('SSF53659',)"": [""P19624"", ""P58717"", ""Q9I5U4"", ""A0LIN6"", ""A0RNS3"", ""A1B0G5"", ""A1JJF5"", ""A1K9J6"", ""A1U6F9"", ""A1W0M2"", ""A4G255"", ""A4JHP8"", ""A4VHI1"", ""A4W6F8"", ""A4XZJ3"", ""A5GPX7"", ""A6SV12"", ""A7FMC0"", ""A7IJ81"", ""A7ZHE5"", ""A7ZW04"", ""A8ALP8"", ""A8FMU4"", ""A8G9P1"", ""A8ZUN0"", ""A9MQG1"", ""A9QZY9"", ""A9VXC3"", ""B0RUI2"", ""B1IRC4"", ""B1JKY2"", ""B1LFY8"", ""B1XC53"", ""B1ZAJ4"", ""B2FPG6"", ""B2IDU5"", ""B2K488"", ""B2SPT4"", ""B2U260"", ""B2UVZ9"", ""B2V9E6"", ""B2VGP9"", ""B3E252"", ""B3Q9S3"", ""B4S6L0"", ""B4SK42"", ""B4U950"", ""B5EL82"", ""B5YZ90"", ""B5Z9L3"", ""B6HZ33"", ""B6JP92"", ""B7J3R1"", ""B7KAA8"", ""B7KYJ1"", ""B7L4H5"", ""B7LVS5"", ""B7M0E9"", ""B7MNR1"", ""B7N7S7"", ""B7NHF8"", ""B8FEI1"", ""B8GMX6"", ""C0QBU5"", ""C0QTA7"", ""C4ZPX8"", ""O26103"", ""O67019"", ""O85987"", ""P58711"", ""P58713"", ""P58714"", ""P58715"", ""P58719"", ""P65680"", ""P65681"", ""Q07YJ9"", ""Q0AQC2"", ""Q0T8E3"", ""Q12K60"", ""Q15QB2"", ""Q164G2"", ""Q17ZN0"", ""Q1CR24"", ""Q1GI38"", ""Q21MS9"", ""Q2JKQ8"", ""Q2JSC8"", ""Q2N8X0"", ""Q2NVX5"", ""Q30S58"", ""Q326I1"", ""Q32K42"", ""Q39Q58"", ""Q3IFD2"", ""Q3V7Q4"", ""Q3V7R9"", ""Q3V8A3"", ""Q3Z5V7"", ""Q475Q2"", ""Q47824"", ""Q47VJ9"", ""Q4UR40"", ""Q55982"", ""Q5FNS3"", ""Q5HTM4"", ""Q5NMX3"", ""Q5P7J0"", ""Q7MP85"", ""Q7NQA9"", ""Q7UMZ2"", ""Q83SQ1"", ""Q87AJ1"", ""Q87ST5"", ""Q88A45"", ""Q88QT5"", ""Q89MT9"", ""Q89ZK3"", ""Q8D3I2"", ""Q8DED3"", ""Q8DHB4"", ""Q8EB94"", ""Q8FL95"", ""Q8PCE2"", ""Q8PP24"", ""Q8UGD4"", ""Q92QZ0"", ""Q92TP3"", ""Q984S6"", ""Q9A7N4"", ""Q9CKG8"", ""Q9I1Q5"", ""Q9JX42"", ""Q9K1F9"", ""Q9KUS1"", ""Q9PF39"", ""Q9PN58"", ""Q9ZJ28""]}"
('1.1.1.263',)	1	5	"{""('SSF51430',)"": [""P82125"", ""Q96JD6"", ""Q9DCT1"", ""Q4R802"", ""Q5U1Y4""]}"
('1.1.1.266',)	1	1	"{""('SSF51735',)"": [""Q6E7F2""]}"
('1.1.1.267',)	1	1	"{""('SSF55347',)"": [""H8ZW44""]}"
('1.1.1.268',)	1	1	"{""('SSF51735',)"": [""Q56840""]}"
('1.1.1.269',)	1	2	"{""('SSF51735',)"": [""A7IQH5"", ""Q56841""]}"
('1.1.1.27',)	1	1	"{""('SSF89733',)"": [""Q07251""]}"
('1.1.1.270',)	1	7	"{""('SSF51735',)"": [""Q5A888"", ""Q874K0"", ""O74732"", ""Q6BNP0"", ""Q6CJC2"", ""Q6CE88"", ""Q74ZZ0""]}"
('1.1.1.271',)	1	14	"{""('SSF51735',)"": [""P23591"", ""P32055"", ""Q13630"", ""G5EER4"", ""O49213"", ""P33217"", ""P55353"", ""Q55C77"", ""Q5RBE5"", ""Q67WR2"", ""Q67WR5"", ""Q8K3X2"", ""Q9LMU0"", ""Q9W1X8""]}"
('1.1.1.274',)	1	1	"{""('SSF51430',)"": [""P15339""]}"
('1.1.1.276',)	1	2	"{""('SSF51735',)"": [""Q9KWN1"", ""Q8U8I2""]}"
('1.1.1.281',)	1	2	"{""('SSF51735',)"": [""Q9HTB6"", ""Q6T1X6""]}"
('1.1.1.283',)	1	1	"{""('SSF51735',)"": [""P83775""]}"
('1.1.1.285',)	1	6	"{""('SSF51430',)"": [""B4F9A4"", ""Q0PCF4"", ""Q10PE7"", ""W5DYE3"", ""A0A1D5XGW0"", ""A0A1X9QHJ0""]}"
('1.1.1.286',)	1	3	"{""('SSF53659',)"": [""O59394"", ""Q72IW9"", ""Q5SIJ1""]}"
('1.1.1.288',)	1	1	"{""('SSF51735',)"": [""Q9C826""]}"
('1.1.1.289',)	1	2	"{""('SSF51735',)"": [""P87219"", ""Q9Y6Z9""]}"
('1.1.1.290',)	1	1	"{""('SSF51735',)"": [""Q56731""]}"
('1.1.1.294',)	1	4	"{""('SSF51735',)"": [""Q5N800"", ""Q84ST4"", ""Q8LEU3"", ""Q93ZA0""]}"
('1.1.1.295',)	1	1	"{""('SSF51735',)"": [""Q7FAE1""]}"
('1.1.1.298',)	1	30	"{""('SSF55469',)"": [""P75894"", ""A1A9R3"", ""A1JMW8"", ""A4W921"", ""A6T798"", ""A7MFX7"", ""A7ZKB3"", ""A7ZYW3"", ""B1IV89"", ""B1LIZ7"", ""B1X9C9"", ""B5XXN4"", ""B5YU50"", ""B6I984"", ""B7LFB8"", ""B7M8Z3"", ""B7MIF5"", ""B7MTF1"", ""B7N3G4"", ""B7NLB8"", ""B7UNZ1"", ""C4ZQD6"", ""Q0T626"", ""Q0TJ59"", ""Q1RDK9"", ""Q32HQ3"", ""Q3Z3A5"", ""Q83RV4"", ""Q8FJ44"", ""Q8XAU9""]}"
('1.1.1.30',)	1	8	"{""('SSF51735',)"": [""P29147"", ""Q02337"", ""Q02338"", ""Q80XN0"", ""P86198"", ""Q5ZJZ5"", ""O86034"", ""Q9X6U2""]}"
('1.1.1.300',)	1	24	"{""('SSF51735',)"": [""O75911"", ""O88876"", ""Q80ZF7"", ""Q8BYK4"", ""Q8IZV5"", ""Q8NBN7"", ""Q8TC12"", ""Q8VCH7"", ""Q96NR8"", ""Q9HBH5"", ""Q9QYF1"", ""P59837"", ""Q17QW3"", ""Q8CEE7"", ""Q8HZT6"", ""Q9ERI6"", ""Q9N126"", ""Q9NYR8"", ""A1L1W4"", ""O77769"", ""Q5XGF7"", ""Q6DCT3"", ""Q6NRV4"", ""Q7T2D1""]}"
('1.1.1.302',)	1	12	"{""('SSF53597',)"": [""Q58085"", ""Q6FU96"", ""O66747"", ""P33312"", ""O26337"", ""O28272"", ""P95872"", ""Q6BII9"", ""Q6CJ61"", ""Q757H6"", ""Q9P4B8"", ""Q9P7L3""]}"
('1.1.1.304',)	1	10	"{""('SSF51735',)"": [""Q48436"", ""Q04520"", ""Q8CQD2"", ""P66775"", ""P66776"", ""P99120"", ""Q5HJP2"", ""Q5HKG6"", ""Q6GCZ8"", ""Q6GKH9""]}"
('1.1.1.307',)	1	22	"{""('SSF51430',)"": [""O74237"", ""P31867"", ""Q8X195"", ""A1CRI1"", ""A1D4E3"", ""A2Q8B5"", ""B0XNR0"", ""B8N195"", ""C5FFQ7"", ""G4N708"", ""O13283"", ""O94735"", ""P49378"", ""P78736"", ""P87039"", ""Q0CUL0"", ""Q2UKD0"", ""Q4WJT9"", ""Q5BGA7"", ""Q6Y0Z3"", ""Q9P430"", ""Q9P8R5""]}"
('1.1.1.308',)	1	2	"{""('SSF53720',)"": [""Q46N53"", ""Q5LVV1""]}"
('1.1.1.309',)	1	1	"{""('SSF56796',)"": [""D9XF45""]}"
('1.1.1.31',)	1	1	"{""('SSF51735',)"": [""P32185""]}"
('1.1.1.311',)	1	1	"{""('SSF51735',)"": [""Q5P5I4""]}"
('1.1.1.313',)	1	3	"{""('SSF51735',)"": [""Q1R183"", ""D3U1D9"", ""Q1QU27""]}"
('1.1.1.316',)	1	1	"{""('SSF51430',)"": [""O81884""]}"
('1.1.1.317',)	1	1	"{""('SSF51430',)"": [""Q3L181""]}"
('1.1.1.318',)	1	4	"{""('SSF51735',)"": [""Q15GI4"", ""B2WSN0"", ""B2WSN1"", ""D0VWT0""]}"
('1.1.1.319',)	1	2	"{""('SSF51735',)"": [""Q15GI3"", ""B2WSM8""]}"
('1.1.1.320',)	1	3	"{""('SSF51735',)"": [""P40580"", ""Q8RJB2"", ""O32099""]}"
('1.1.1.325',)	1	1	"{""('SSF51735',)"": [""Q8KES3""]}"
('1.1.1.326',)	1	1	"{""('SSF51735',)"": [""F1SWA0""]}"
('1.1.1.328',)	1	1	"{""('SSF53448',)"": [""Q93NF6""]}"
('1.1.1.330',)	1	40	"{""('SSF51735',)"": [""P38286"", ""Q8L9C4"", ""Q60V51"", ""A1C6J8"", ""A1DH66"", ""A2QCH3"", ""A3LXZ3"", ""A4QTE3"", ""A5DND6"", ""A5E0R1"", ""A6RBW9"", ""A6SG70"", ""A6ZLA1"", ""A7F8T1"", ""A7TMJ2"", ""A8N6B4"", ""A8Q1U2"", ""B0D8R3"", ""B0XSI3"", ""B2B3L4"", ""B2WMJ3"", ""B3LN00"", ""P0CR34"", ""P0CR35"", ""Q0CY11"", ""Q0U3N7"", ""Q10245"", ""Q1DNC5"", ""Q2H1V7"", ""Q2UET3"", ""Q4P622"", ""Q4X117"", ""Q59V93"", ""Q5B0R9"", ""Q6BIG0"", ""Q6CHP1"", ""Q6CVS4"", ""Q6FRM0"", ""Q75A60"", ""Q7RYE5""]}"
('1.1.1.331',)	1	3	"{""('SSF51735',)"": [""A3F5F0"", ""Q94KL8"", ""Q94KL7""]}"
('1.1.1.332',)	1	8	"{""('SSF51735',)"": [""D3J0Z1"", ""D4AK45"", ""Q4WZ66"", ""A8C7R7"", ""C5FTN0"", ""D4D446"", ""M1VVW5"", ""O94207""]}"
('1.1.1.333',)	1	4	"{""('SSF51735',)"": [""P9WGS9"", ""A0R610"", ""P66784"", ""P9WGS8""]}"
('1.1.1.334',)	1	1	"{""('SSF51430',)"": [""E7C196""]}"
('1.1.1.337',)	1	2	"{""('SSF89733',)"": [""Q58820"", ""O27273""]}"
('1.1.1.338',)	1	1	"{""('SSF89733',)"": [""Q1QWN5""]}"
('1.1.1.339',)	1	1	"{""('SSF51735',)"": [""O66256""]}"
('1.1.1.340',)	1	3	"{""('SSF51735',)"": [""Q82IY9"", ""E3VWI6"", ""E3VWK2""]}"
('1.1.1.341',)	1	3	"{""('SSF51735',)"": [""Q05342"", ""P0A1P4"", ""Q00329""]}"
('1.1.1.342',)	1	1	"{""('SSF51735',)"": [""P14168""]}"
('1.1.1.344',)	1	1	"{""('SSF51735',)"": [""E5F146""]}"
('1.1.1.346',)	1	1	"{""('SSF51430',)"": [""P06632""]}"
('1.1.1.348',)	1	1	"{""('SSF51735',)"": [""Q40316""]}"
('1.1.1.349',)	1	3	"{""('SSF51735',)"": [""Q00278"", ""M2Y1A3"", ""Q00674""]}"
('1.1.1.350',)	1	2	"{""('SSF89733',)"": [""P77555"", ""P58408""]}"
('1.1.1.352',)	1	3	"{""('SSF51735',)"": [""P87017"", ""A0A1U8QGV2"", ""M2YJK1""]}"
('1.1.1.353',)	1	1	"{""('SSF51430',)"": [""B9WYE6""]}"
('1.1.1.355',)	1	1	"{""('SSF51735',)"": [""Q2MFU6""]}"
('1.1.1.356',)	1	1	"{""('SSF51735',)"": [""G4WJD3""]}"
('1.1.1.36',)	1	7	"{""('SSF51735',)"": [""P14697"", ""P73826"", ""P23238"", ""P45375"", ""P50203"", ""P50204"", ""P50205""]}"
('1.1.1.362',)	1	1	"{""('SSF51735',)"": [""Q53882""]}"
('1.1.1.364',)	1	2	"{""('SSF51735',)"": [""Q331Q7"", ""Q5SFA6""]}"
('1.1.1.365',)	1	2	"{""('SSF51430',)"": [""Q3ZFI7"", ""O49133""]}"
('1.1.1.371',)	1	1	"{""('SSF51735',)"": [""O32223""]}"
('1.1.1.372',)	1	1	"{""('SSF51430',)"": [""Q0GYU5""]}"
('1.1.1.376',)	1	1	"{""('SSF51735',)"": [""D4GP33""]}"
('1.1.1.377',)	1	1	"{""('SSF51735',)"": [""Q9HK58""]}"
('1.1.1.378',)	1	2	"{""('SSF51735',)"": [""C1DMX5"", ""Q1NEJ0""]}"
('1.1.1.381',)	1	1	"{""('SSF51735',)"": [""Q9P7B4""]}"
('1.1.1.385',)	1	3	"{""('SSF51735',)"": [""P39640"", ""Q8KWS9"", ""Q8KWT4""]}"
('1.1.1.386',)	1	1	"{""('SSF51735',)"": [""G5DGA8""]}"
('1.1.1.388',)	1	1	"{""('SSF51735',)"": [""D4GS48""]}"
('1.1.1.390',)	1	1	"{""('SSF51735',)"": [""P0DOV5""]}"
('1.1.1.394',)	1	1	"{""('SSF51735',)"": [""H1ZZB0""]}"
('1.1.1.395',)	1	2	"{""('SSF51735',)"": [""P07914"", ""P19337""]}"
('1.1.1.398',)	1	1	"{""('SSF51735',)"": [""Q9RBP5""]}"
('1.1.1.401',)	1	1	"{""('SSF51735',)"": [""Q1NEI6""]}"
('1.1.1.403',)	1	1	"{""('SSF51735',)"": [""A0QYC2""]}"
('1.1.1.406',)	1	1	"{""('SSF51735',)"": [""C0KTJ6""]}"
('1.1.1.408',)	1	19	"{""('SSF53659',)"": [""P58718"", ""A0A0H3LQK8"", ""Q0K4F5"", ""Q6D0N8"", ""A5I3X9"", ""A7FVM3"", ""A7GFE5"", ""B1IGV8"", ""B1KVV5"", ""C1FQK1"", ""C3KYY3"", ""P58716"", ""Q3V818"", ""Q6AB12"", ""Q89NF3"", ""Q8CUU4"", ""Q8RGR0"", ""Q92X16"", ""Q9RC88""]}"
('1.1.1.409',)	1	1	"{""('SSF53659',)"": [""B0TBI8""]}"
